ISBN,Title,Author,Format,Gross Qty,Returned Qty,Net Qty,Net Compensation,Sales Market
9780978813895,Red Zone Blues: a snapshot of Baghdad during the surge,"Escobar, Pepe",Paperback,40,0,40,227.08,UK
9781608880393,World War II Vertical Envelopment: The German Influence on U.S. Army Airborne Operations,"Sheehan, Thomas J.",Paperback,20,0,20,221.26,US
9781608883226,David's Wings,"Borukhovich , Kelly  ""KGB""",Paperback,25,0,25,220.25,US
9781934840696,Pocket Battleship Deutschland (Lutzow): Kriegsmarine Illustrated Ship Histories,"Bonomi, Antonio",Paperback,26,0,26,215.27,UK
9781608881017,Thunder in its Courses: Essays on the Battlecruiser,"Worth, Richard",Hardcover,26,0,26,213.75,UK
9781608881543,Doubling The Fleet: An Analysis of the Causal Factors Behind the U.S. Navy's Warship Building Program from 1933-1941,"Barrett, John M.",Paperback,14,0,14,212.63,US
9781608880287,The Influence of Maritime Theorists Alfred Thayer Mahan and Sir Julian Corbett on the Development of German Naval Strategy 1930-1936,"Cribbs, Donald",Paperback,21,0,21,212.30,US
9781608881864,Playbook For Early Response To High-Consequence Emerging Infectious Disease Threats And Biological Incidents,National Security Council,Hardcover,38,0,38,209.37,US
9781934840269,"CVN-75 HARRY S. TRUMAN, U.S. Navy Aircraft Carrier","Zimmerman, W. Frederick",Paperback,22,0,22,207.27,US
9781608880409,Crete: The Graveyard of the Fallschirmjger,"Bond, Major George",Paperback,20,0,20,206.01,UK
9781608880133,"U.S. Patrol Torpedo Boats in World War II, 1939-1945","Connelly, T. Garth",Paperback,18,0,18,204.02,UK
9780977742462,Misquotes in MISQUOTING JESUS: Why You Can Still Believe,"Burroughs, Dillon",Paperback,21,0,21,199.28,US
9781608882403,"Jane's Fighting Ships 1904. (Naval Encyclopedia and Year Book): Facsimile Edition. Volume 1 of 2.  England, France, Germany, Russia.","Jane, Fred, T.",Hardcover,9,0,9,198.46,US
9781934840252,"CVN-74 JOHN C. STENNIS, U.S. Navy Aircraft Carrier","Zimmerman, W. Frederick",Paperback,20,0,20,197.12,US
9781934840696,Pocket Battleship Deutschland (Lutzow): Kriegsmarine Illustrated Ship Histories,"Bonomi, Antonio",Paperback,17,0,17,196.53,US
9781608881536,United States - Vietnam Relations 1945 - 1967 (the Pentagon Papers) (Volume 8),Office of the Secretary of Defense,Hardcover,10,0,10,195.43,US
9781608882342,Jane's Fighting Ships 1920 (facsimile edition),"Jane, Fred, T.",Hardcover,5,-1,4,193.52,US
9781934840207,CVN-69 DWIGHT D. EISENHOWER: U.S. Navy Aircraft Carrier,"Zimmerman, W. Frederick",Paperback,19,0,19,187.15,US
9781608881420,United States - Vietnam Relations 1945 - 1967 (The Pentagon Papers) (Volume 5),"Office of the Secretary of Defense,",Hardcover,16,0,16,185.92,US
9781608881697,2030,"Escobar, Pepe",Hardcover,21,0,21,182.24,US
9781608881321,With the Battle Cruisers,"Young, Filson",Hardcover,19,0,19,181.80,UK
9781608880362,"Obama's Nuclear Posture Review: Or, We Won't Nuke You Unless You Are a Really Bad Country, or We Change Our Minds","Gates, Robert M.",Paperback,15,0,15,180.00,US
9781934840153,"Cool Maps of Cuba: An Atlas of History, Population, Resources Before and After Fidel Castro","Zimmerman, W. Frederick",Paperback,18,0,18,179.72,US
9781934840085,"CVN-76 RONALD REAGAN, U.S. Navy Aircraft Carrier","Zimmerman, W. Frederick",Paperback,18,0,18,178.62,US
9781608881574,Domestic Investigations and Operations Guide,Federal Bureau of Investigation,Hardcover,5,0,5,178.10,US
